state	minimumwage
Alabama	0
Alaska	8.75
Arizona	8.05
Arkansas	7.5
California	9
Colorado	8.23
Connecticut	9.15
Delaware	7.75
D.C.	9.5
Florida	8.05
Georgia	5.15
Guam	7.25
Hawaii	7.75
Idaho	7.25
Illinois	8.25
Indiana	7.25
Iowa	7.25
Kansas	7.25
Kentucky	7.25
Louisiana	0
Maine	7.5
Maryland	8
Massachusetts	9
Michigan	8.15
Minnesota	8
Mississippi	0
Missouri	7.65
Montana	8.05
Nebraska	8
Nevada	8.25
New Jersey	8.38
New Mexico	7.5
New York	8.75
North Carolina	7.25
North Dakota	7.25
Ohio	8.1
Oklahoma	7.25
Oregon	9.25
Pennsylvania	7.25
Puerto Rico	7.25
Rhode Island	9
South Carolina	0
South Dakota	8.5
Tennessee	0
Texas	7.25
Utah	7.25
Vermont	9.15
Virgin Islands	7.25
Virginia	7.25
Washington	9.47
West Virginia	8
Wisconsin	7.25
Wyoming	5.15
